Dataset Identifier (ID)	Name	Name_Without_Resource	Description	Association	Gene_Set_Description	Gene_Sets_Description	Attribute_Set_Description	Positive Association	Negative Association	Is_Signed	Is_Continuous_Valued	Last_Updated	Directory	Num_Page_Views	Resouce_fk	Measurement_fk	Dataset_Group_Fk	Attribute_Type_fk	Attribute_Group_fk	Evidence_Type	Evidence_Group	Measurement Bias	Attribute_Type_Plural
105	ProteomicsDB Cell Type and Tissue Protein Expression Profiles	Cell Type and Tissue Protein Expression Profiles	protein expression profiles for tissues and cell types reprocessed from many proteomics datasets	protein-cell type or tissue associations by differential expression of protein across tissues and cell types	proteins with high or low expression in {0} relative to other cell types and tissues from the ProteomicsDB Cell Type and Tissue Protein Expression Profiles dataset.	sets of proteins with high or low expression in each cell type or tissue relative to other cell types and tissues from the ProteomicsDB Cell Type and Tissue Protein Expression Profiles dataset.	cell types and tissues with high or low expression of {0} protein relative to other cell types and tissues from the ProteomicsDB Cell Type and Tissue Protein Expression Profiles dataset.	high expression	low expression	1	1		proteomicsdb	5686	64	25	5	3	1	protein expression by mass spectrometry	curated experimental data	high throughput, data driven	cell types and tissues
107	Reactome Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the Reactome Pathways dataset.	sets of proteins participating in pathways from the Reactome Pathways dataset.	pathways involving {0} protein from the Reactome Pathways dataset.			0	0		reactome	5347	65	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
109	Roadmap Epigenomics Cell and Tissue DNA Accessibility Profiles	Cell and Tissue DNA Accessibility Profiles	DNA accessibility profiles for primary cell types and tissues	gene-cell type or tissue associations by differential accessibility of gene across cell types and tissues	genes with high or low DNA accessibility in {0} relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue DNA Accessibility Profiles dataset.	sets of genes with high or low DNA accessibility in each cell type or tissue relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue DNA Accessibility Profiles dataset.	cell types and tissues with high or low DNA accessibility of {0} gene relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue DNA Accessibility Profiles dataset.	high DNA accessibilitt	low DNA accessibility	1	0		epigenomicsdnaaccessibility	982	67	9	2	3	1	DNA accessibility by DNase-seq	primary experimental data	high throughput, data driven	cell types and tissues
110	Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles	Cell and Tissue DNA Methylation Profiles	DNA methylation profiles for primary cell types and tissues	gene-cell type or tissue associations by differential methylation of gene across cell types and tissues	genes with high or low DNA methylation in {0} relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles dataset.	sets of genes with high or low DNA methylation in each cell type or tissue relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles dataset.	cell types and tissues with high or low DNA methylation of {0} gene relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles dataset.	high DNA methylation	low DNA methylation	1	1		epigenomicsdnamethylation	3164	67	10	2	3	1	DNA methylation by bisulfite sequencing, MeDIP-seq, or MRE-seq	primary experimental data	high throughput, data driven	cell types and tissues
111	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	Cell and Tissue Gene Expression Profiles	mRNA expression profiles for primary cell types and tissues	gene-cell type or tissue associations by differential expression of gene across cell types and tissues	genes with high or low expression in {0} relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell type or tissue relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue Gene Expression Profiles dataset.	cell types and tissues with high or low expression of {0} gene relative to other cell types and tissues from the Roadmap Epigenomics Cell and Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		epigenomicsmrna	2739	67	16	7	3	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	cell types and tissues
112	Roadmap Epigenomics Histone Modification Site Profiles	Histone Modification Site Profiles	histone modification profiles for primary cells and tissues	gene-histone modification site profile associations by modification of histone near gene in cell or tissue	genes with high histone modification abundance in the {0} histone modification site profile from the Roadmap Epigenomics Histone Modification Site Profiles dataset.	sets of genes with high histone modification abundance in histone modification site profiles from the Roadmap Epigenomics Histone Modification Site Profiles dataset.	histone modification site profiles with high histone modification abundance at {0} gene from the Roadmap Epigenomics Histone Modification Site Profiles dataset.			0	0		epigenomicshm	2431	67	22	2	40	6	histone DNA-binding by ChIP-seq	primary experimental data	high throughput, data driven	histone modification site profiles
113	SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Drugs	Signatures of Differentially Phosphorylated Proteins for Drugs	phosphorylation levels of proteins in cell lines following drug treatment	protein-drug associations by differential phosphorylation of protein following treatment of cells with drug	proteins differentially phosphorylated following the {0} drug perturbation from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Drugs dataset.	sets of proteins differentially phosphorylated following drug perturbations from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Drugs dataset.	drug perturbations changing phosphorylation of {0} protein from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Drugs dataset.	increased phosphorylation	decreased phosphorylation	1	0		silacdrug	2109	68	26	5	8	2	protein phosphorylation by SILAC	curated experimental data	high throughput, data driven	drug perturbations
114	SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Gene Perturbations	Signatures of Differentially Phosphorylated Proteins for Gene Perturbations	phosphorylation levels of proteins in cell lines following genetic perturbation (knockdown, knockout, over-expression, mutation)	protein-gene associations by differential phosphorylation of protein following genetic perturbation of cells	proteins differentially phosphorylated following the {0} gene perturbation from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Gene Perturbations dataset.	sets of proteins differentially phosphorylated following gene perturbations from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Gene Perturbations dataset.	gene perturbations changing phosphorylation of {0} protein from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Gene Perturbations dataset.	increased phosphorylation	decreased phosphorylation	1	0		silacgene	1018	68	26	5	27	5	protein phosphorylation by SILAC	curated experimental data	high throughput, data driven	gene perturbations
115	SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Protein Ligands	Signatures of Differentially Phosphorylated Proteins for Protein Ligands	phosphorylation levels of proteins in cell lines following ligand treatment	protein-ligand (protein) associations by differential phosphorylation of protein following treatment of cells with ligand	proteins differentially phosphorylated following the {0} ligand (protein) perturbation from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Protein Ligands dataset.	sets of proteins differentially phosphorylated following ligand (protein) perturbations from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Protein Ligands dataset.	ligand (protein) perturbations changing phosphorylation of {0} protein from the SILAC Phosphoproteomics Signatures of Differentially Phosphorylated Proteins for Protein Ligands dataset.	increased phosphorylation	decreased phosphorylation	1	0		silacligand	1662	68	26	5	33	5	protein phosphorylation by SILAC	curated experimental data	high throughput, data driven	ligand (protein) perturbations
117	TargetScan Predicted Conserved microRNA Targets	Predicted Conserved microRNA Targets	target genes of microRNAs predicted by searching genes for sites matching conserved miRNA seed regions	target gene-microRNA associations predicted using conserved miRNA seed sequences	target genes of the {0} microRNA predicted using conserved miRNA seed sequences from the TargetScan Predicted Conserved microRNA Targets dataset.	sets of target genes of microRNAs predicted using conserved miRNA seed sequences from the TargetScan Predicted Conserved microRNA Targets dataset.	microRNAs regulating expression of {0} gene predicted using conserved miRNA seed sequences from the TargetScan Predicted Conserved microRNA Targets dataset.			0	1		targetscan	3199	70	1	2	34	5	association by computational motif search	computational model	high throughput, data driven	microRNAs
118	TCGA Signatures of Differentially Expressed Genes for Tumors	Signatures of Differentially Expressed Genes for Tumors	mRNA expression profiles for tumor and normal tissue samples	gene-tissue sample associations by differential expression of gene across tissue samples	genes with high or low expression in {0} relative to other tissue samples from the TCGA Signatures of Differentially Expressed Genes for Tumors dataset.	sets of genes with high or low expression in each tissue sample relative to other tissue samples from the TCGA Signatures of Differentially Expressed Genes for Tumors dataset.	tissue samples with high or low expression of {0} gene relative to other tissue samples from the TCGA Signatures of Differentially Expressed Genes for Tumors dataset.	high expression	low expression	1	0		tcga	9566	71	16	7	5	1	gene expression by RNA-seq	primary experimental data	high throughput, data driven	tissue samples
119	TISSUES Curated Tissue Protein Expression Evidence Scores	Curated Tissue Protein Expression Evidence Scores	protein tissue expression evidence scores by manual literature curation	protein-tissue associations by integrating evidence from manual literature curation	proteins highly expressed in the tissue {0} from the TISSUES Curated Tissue Protein Expression Evidence Scores dataset.	sets of proteins highly expressed in tissues from the TISSUES Curated Tissue Protein Expression Evidence Scores dataset.	tissues with high expression of {0} protein from the TISSUES Curated Tissue Protein Expression Evidence Scores dataset.			0	0		jensentissuecurated	4530	72	4	6	4	1	association by literature curation	curated literature	low throughput, hypothesis driven	tissues
120	TISSUES Experimental Tissue Protein Expression Evidence Scores	Experimental Tissue Protein Expression Evidence Scores	protein tissue expression evidence scores by integrating experimental data	protein-tissue associations by integrating evidence from experimental studies	proteins highly expressed in the tissue {0} in proteomics datasets from the TISSUES Experimental Tissue Protein Expression Evidence Scores dataset.	sets of proteins highly expressed in tissues in proteomics datasets from the TISSUES Experimental Tissue Protein Expression Evidence Scores dataset.	tissues with high expression of {0} protein in proteomics datasets from the TISSUES Experimental Tissue Protein Expression Evidence Scores dataset.			0	1		jensentissueexpts	3014	72	3	5	4	1	association by data aggregation	curated experimental data	mixed	tissues
121	TISSUES Text-mining Tissue Protein Expression Evidence Scores	Text-mining Tissue Protein Expression Evidence Scores	gene-tissue co-occurrence scores from text-mining biomedical abstracts	protein-tissue associations from automated text-mining of biomedical literature	proteins co-occuring with the tissue {0} in abstracts of biomedical publications from the TISSUES Text-mining Tissue Protein Expression Evidence Scores dataset.	sets of proteins co-occuring with tissues in abstracts of biomedical publications from the TISSUES Text-mining Tissue Protein Expression Evidence Scores dataset.	tissues co-occuring with {0} protein in abstracts of biomedical publications from the TISSUES Text-mining Tissue Protein Expression Evidence Scores dataset.			0	1		jensentissuetextmining	10652	72	5	6	4	1	association by text-mining	automated text-mining	low throughput, hypothesis driven	tissues
124	Virus MINT Protein-Viral Protein Interactions	Protein-Viral Protein Interactions	interactions between viral and human proteins manually curated from literature	protein-viral protein associations from curated protein interaction studies	interacting proteins for viral protein {0} from the Virus MINT Protein-Viral Protein Interactions dataset.	sets of interacting proteins for viral proteins from the Virus MINT Protein-Viral Protein Interactions dataset.	interacting viral proteins for {0} from the Virus MINT Protein-Viral Protein Interactions dataset.			0	0		virusmintppi	3120	74	4	4	38	5	association by literature curation	curated literature	low throughput, hypothesis driven	viral proteins
125	Wikipathways Pathways	Pathways	sets of proteins participating in pathways	protein-pathway associations from curated pathways	proteins participating in the {0} pathway from the Wikipathways Pathways dataset.	sets of proteins participating in pathways from the Wikipathways Pathways dataset.	pathways involving {0} protein from the Wikipathways Pathways dataset.			0	0		wikipathways	7041	75	4	6	22	4	association by literature curation	curated literature	low throughput, hypothesis driven	pathways
126	Virus MINT Protein-Virus Interactions	Protein-Virus Interactions	interactions between viruses and human proteins manually curated from literature	protein-virus associations from curated protein interaction studies	interacting proteins for the virus {0} from the Virus MINT Protein-Virus Interactions dataset.	sets of interacting proteins for viruses from the Virus MINT Protein-Virus Interactions dataset.	viruses interacting with {0} from the Virus MINT Protein-Virus Interactions dataset.			0	0		virusmint	2027	74	4	4	42	7	association by literature curation	curated literature	low throughput, hypothesis driven	viruses
127	LOCATE Predicted Protein Localization Annotations	Predicted Protein Localization Annotations	subcellular localization of proteins by sequence similarity to localization sequences	protein-cellular component associations by sequence similarity to localization sequences	proteins predicted to localize to the {0} cellular component from the LOCATE Predicted Protein Localization Annotations dataset.	sets of proteins predicted to localize to cellular components from the LOCATE Predicted Protein Localization Annotations dataset.	cellular components predicted to contain {0} protein from the LOCATE Predicted Protein Localization Annotations dataset.			0	0		locatepredicted	2224	51	1	5	19	4	association by computational motif search	computational model	high throughput, data driven	cellular components
128	TargetScan Predicted Nonconserved microRNA Targets	Predicted Nonconserved microRNA Targets	target genes of microRNAs predicted by searching genes for sites matching nonconserved miRNA seed regions	target gene-microRNA associations predicted using nonconserved miRNA seed sequences	target genes of the {0} microRNA predicted using nonconserved miRNA seed sequences from the TargetScan Predicted Nonconserved microRNA Targets dataset.	sets of target genes of microRNAs predicted using nonconserved miRNA seed sequences from the TargetScan Predicted Nonconserved microRNA Targets dataset.	microRNAs regulating expression of {0} gene predicted using nonconserved miRNA seed sequences from the TargetScan Predicted Nonconserved microRNA Targets dataset.			0	1		targetscannonconserved	3190	70	1	2	34	5	association by computational motif search	computational model	high throughput, data driven	microRNAs
